Order Date,Order ID,Payment Instrument Type,Website,Shipment Date,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
07/10/17,111-8529442-6537845,American Express - 1003,Amazon.com,07/11/17,MA,01970-1252,Shipped,USPS(9374889684090235183083),$49.96,$0.00,$2.43,$11.01,$2.43,$41.38
07/30/17,111-7845095-7261867,American Express - 1003,Amazon.com,07/30/17,MA,01970-1252,Shipped,USPS(9361289684090284089699),$125.99,$0.00,$7.87,$0.00,$7.87,$133.86
08/11/17,111-2498028-1333853,Visa - 7632,Amazon.com,08/11/17,CA,90007-4396,Shipped,ONTRAC(C12340352848845),$92.93,$5.99,$2.77,$5.99,$2.77,$95.70
08/11/17,111-5636016-3530653,Visa - 7632,Amazon.com,08/12/17,CA,90007-4396,Shipped,AMZN_US(TBA396132855000),$89.99,$0.00,$8.32,$0.00,$8.32,$104.31
08/11/17,111-5636016-3530653,Visa - 7632,Amazon.com,08/12/17,CA,90007-4396,Shipped,AMZN_US(TBA396290847000),$54.98,$0.00,$5.08,$0.00,$5.08,$60.06
08/11/17,111-5636016-3530653,Visa - 7632,Amazon.com,08/12/17,CA,90007-4396,Shipped,AMZN_US(TBA396034649000),$9.88,$0.00,$0.00,$0.00,$0.00,$9.88
08/12/17,111-3886702-4265008,Visa - 7632,Amazon.com,08/12/17,CA,90007-4396,Shipped,AMZN_US(TBA397303423000),$57.99,$0.00,$5.36,$0.00,$5.36,$63.35
08/12/17,111-3886702-4265008,Visa - 7632,Amazon.com,08/13/17,CA,90007-4396,Shipped,AMZN_US(TBA397746919000),$18.48,$0.00,$0.00,$0.00,$0.00,$18.48
08/12/17,111-3886702-4265008,Visa - 7632,Amazon.com,08/13/17,CA,90007-4396,Shipped,AMZN_US(TBA396998559000),$36.59,$0.00,$0.00,$0.00,$0.00,$36.59
08/12/17,111-8591308-3594626,Visa - 7632,Amazon.com,08/13/17,CA,90007-4396,Shipped,AMZN_US(TBA397746919000),$14.93,$0.00,$1.38,$0.00,$1.38,$16.31
08/12/17,111-1078203-8845012,Visa - 7632,Amazon.com,08/14/17,CA,90007-4396,Shipped,USPS(9374889692090546680393),$5.99,$0.00,$0.55,$0.00,$0.55,$6.54
08/15/17,114-7913636-0673056,Visa - 7632,Amazon.com,08/15/17,CA,90007-4396,Shipped,AMZN_US(TBA401202627000),$31.99,$5.99,$0.00,$0.00,$0.00,$37.98
08/22/17,111-1879312-8408239,Visa - 7632,Amazon.com,08/24/17,CA,90007-4396,Shipped,USPS(9341989692090136098941),$7.78,$0.00,$0.00,$0.00,$0.00,$7.78
08/23/17,111-0998503-1041067,American Express - 1003,Amazon.com,08/24/17,CA,90007-4396,Shipped,AMZN_US(TBA415351492000),$28.71,$0.00,$1.73,$0.00,$1.73,$30.44
08/27/17,111-8617292-3368218,American Express - 1003,Amazon.com,08/28/17,MA,01970-1252,Shipped,UPS(1ZY4V3640305249599),$38.00,$0.00,$0.00,$0.00,$0.00,$38.00
08/27/17,111-8617292-3368218,American Express - 1003,Amazon.com,08/28/17,MA,01970-1252,Shipped,SUREPOST(1Z933E6VYW02254700),$28.70,$0.00,$0.00,$0.00,$0.00,$28.70
09/02/17,111-7368402-5881827,American Express - 1003,Amazon.com,09/03/17,CA,90007-4396,Shipped,AMZN_US(TBA428368852000),$38.00,$0.00,$3.52,$0.00,$3.52,$41.52
09/02/17,111-7368402-5881827,American Express - 1003,Amazon.com,09/03/17,CA,90007-4396,Shipped,AMZN_US(TBA428388680000),$28.70,$0.00,$0.00,$0.00,$0.00,$28.70
09/12/17,111-1023069-2097837,American Express - 1003,Amazon.com,09/13/17,MA,01970-1252,Shipped,USPS(9361289684090313753300),$19.99,$0.00,$0.00,$0.00,$0.00,$19.99
09/21/17,111-9780479-4615418,American Express - 1003,Amazon.com,09/22/17,CA,90007-4396,Shipped,AMZN_US(TBA455069000000),$16.80,$0.00,$1.55,$0.00,$1.55,$18.35
09/22/17,111-4482638-4197840,American Express - 1003,Amazon.com,09/22/17,CA,90007-4396,Shipped,AMZN_US(TBA456100873000),$28.08,$0.00,$0.00,$0.00,$0.00,$28.08
09/27/17,111-9336112-8196246,American Express - 1003,Amazon.com,09/27/17,CA,90007-4396,Shipped,AMZN_US(TBA463445654000),$14.99,$0.00,$0.00,$0.00,$0.00,$14.99
10/04/17,111-6791784-4806632,American Express - 1003,Amazon.com,10/05/17,CA,90007-4396,Shipped,AMZN_US(TBA475337652000),$9.13,$0.00,$0.87,$0.00,$0.87,$10.00
10/16/17,111-1050245-3170632,American Express - 1003,Amazon.com,10/16/17,CA,90007-4396,Shipped,AMZN_US(TBA493444285000),$8.95,$0.00,$0.00,$0.00,$0.00,$8.95
10/29/17,111-2906521-3557815,American Express - 1003,Amazon.com,10/30/17,CA,90007-4396,Shipped,AMZN_US(TBA516186985000),$16.99,$3.00,$1.61,$3.00,$1.61,$18.60
10/29/17,111-2906521-3557815,American Express - 1003,Amazon.com,10/30/17,CA,90007-4396,Shipped,AMZN_US(TBA516420888000),$28.07,$2.99,$2.67,$2.99,$2.67,$30.74
11/05/17,111-2427206-7643451,American Express - 1003,Amazon.com,11/05/17,CA,90007-4396,Shipped,AMZN_US(TBA529108664000),$7.99,$0.00,$0.00,$0.00,$0.00,$7.99
11/05/17,111-2427206-7643451,American Express - 1003,Amazon.com,11/06/17,CA,90007-4396,Shipped,AMZN_US(TBA529834173000),$12.99,$0.00,$1.23,$0.00,$1.23,$14.22
11/11/17,111-8145324-3953842,American Express - 1003,Amazon.com,11/12/17,CA,90007-4396,Shipped,AMZN_US(TBA542897714000),$27.99,$0.00,$2.66,$0.00,$2.66,$30.65
11/12/17,111-5348970-6303429,American Express - 1003,Amazon.com,11/12/17,CA,90007-4396,Shipped,AMZN_US(TBA542897714000),$19.99,$0.00,$0.00,$0.00,$0.00,$19.99
11/12/17,111-8731445-1825826,American Express - 1003,Amazon.com,11/12/17,CA,90007-4396,Shipped,AMZN_US(TBA542897714000),$5.99,$0.00,$0.00,$0.00,$0.00,$5.99
11/12/17,111-1930793-1747454,American Express - 1003,Amazon.com,11/12/17,CA,90007-4396,Shipped,AMZN_US(TBA542897714000),$15.99,$0.00,$0.00,$0.00,$0.00,$15.99
11/17/17,112-5756099-5461038,American Express - 1003,Amazon.com,11/19/17,CA,90007-4396,Shipped,AMZN_US(TBA556922973000),$17.84,$0.00,$0.00,$0.00,$0.00,$17.84
11/21/17,112-4234365-9549806,American Express - 1003,Amazon.com,11/22/17,CA,90007-4396,Shipped,AMZN_US(TBA562826873000),$17.99,$0.00,$1.71,$0.00,$1.71,$19.70
11/27/17,114-0589175-8713031,American Express - 1003,Amazon.com,11/27/17,,,Shipped,,$59.99,$0.00,$0.00,$0.00,$0.00,$59.99
12/15/17,114-9008127-6787469,Visa - 7632,Amazon.com,12/16/17,MA,1970,Shipped,USPS(9341989684090088954297),$15.31,$0.00,$0.96,$0.00,$0.96,$16.27
12/17/17,114-6547233-4369846,American Express - 1003,Amazon.com,12/19/17,CA,90007-4396,Shipped,UPS(1Z9R82E10312609016),$73.68,$0.00,$5.51,$0.00,$5.51,$79.19
12/17/17,114-6547233-4369846,American Express - 1003,Amazon.com,12/18/17,CA,90007-4396,Shipped,AMZN_US(TBA630018765000),$32.98,$0.00,$1.61,$3.00,$1.61,$31.59
12/28/17,114-7570922-2103443,American Express - 1003,Amazon.com,12/29/17,CA,90007-4396,Shipped,AMZN_US(TBA652663324000),$8.99,$0.00,$0.85,$0.00,$0.85,$9.84
01/16/18,114-6111745-5956232,American Express - 1003,Amazon.com,01/16/18,CA,90007-4396,Shipped,AMZN_US(TBA690724011000),$21.69,$0.00,$0.53,$0.25,$0.53,$21.97
01/16/18,114-6111745-5956232,American Express - 1003,Amazon.com,01/16/18,CA,90007-4396,Shipped,AMZN_US(TBA690486413000),$29.01,$0.00,$2.75,$0.00,$2.75,$31.76
01/25/18,114-0414916-8172201,American Express - 1003,Amazon.com,01/26/18,CA,90007-4396,Shipped,AMZN_US(TBA712288299000),$19.97,$0.00,$0.00,$2.00,$0.00,$17.97
01/25/18,114-3792067-4369844,American Express - 1003,Amazon.com,01/26/18,CA,90007-4396,Shipped,UPS(1Z9A99V11260858035),$15.79,$0.00,$1.14,$0.00,$1.14,$16.93
02/11/18,114-5496812-5059444,American Express - 1003,Amazon.com,02/12/18,CA,90007-4396,Shipped,AMZN_US(TBA750748763000),$12.50,$0.00,$0.00,$0.00,$0.00,$12.50
02/11/18,114-5496812-5059444,American Express - 1003,Amazon.com,02/11/18,CA,90007-4396,Shipped,AMZN_US(TBA749251595000),$16.98,$0.00,$0.57,$0.00,$0.57,$17.55
02/12/18,114-8097109-2390602,American Express - 1003,Amazon.com,02/12/18,CA,90007-4396,Shipped,AMZN_US(TBA751355489000),$24.99,$0.00,$0.00,$0.00,$0.00,$24.99
02/22/18,114-6790438-0819408,American Express - 1003,Amazon.com,02/23/18,CA,90007-4396,Shipped,AMZN_US(TBA774662284000),$11.18,$0.00,$1.06,$0.00,$1.06,$12.24
03/06/18,114-8222022-6758623,American Express - 1003,Amazon.com,03/07/18,CA,90007-4396,Shipped,AMZN_US(TBA802112871000),$9.99,$0.00,$0.00,$0.00,$0.00,$9.99
